query,rank,score,relevance,reason,title,administration,agencies_affected,subject_matter,source_path,snippet
migrant protection protocols,1,18.956823,3,Directly about resuming/implementing Migrant Protection Protocols (MPP).,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]",data/sample_100/policies/1417__eo-securing-our-borders-6-directs-dhs-dos-and-doj-to-resume-migrant-protection-p/documents/prior-policy__4892__nan__47d01c1478.pdf,"1 OOD PM 21-26 Effective: June 24, 2021 To: All Immigration Court and Board of Immigration Appeals Personnel From: Jean King, Acting Director Date: June 24, 2021 MIGRANT PROTECTION PROTOCOLS AND MOTIONS TO REOPEN PURPOSE: Provides information regarding the adjudication of motions to reopen in Migrant Protection Protocols cases OWNER: Office of the Director AUTHORITY: 8 C.F.R. § 1003.0(b) CANCELLATION: None. I. Former Migrant Protection Protocols In January 2019, the Department of Homeland Security (DHS) implemented the Migrant Protection Protocols (MPP), which required certain individuals to wait in Mexico while awaiting adjudication by the Executive Office for Immigration Review (EOIR). See INA § 235(b)(2)(C) (authorizing the return of certain noncitizens to a contiguous territory pending removal proceedings under INA § 240); U.S. Dep’t of Homeland Security, Migrant Protection Protocols (Jan. 24, 2019), https://www.dhs.gov/news/2019/01/24/migrant-protection-protocols; see also Matter…"
migrant protection protocols,2,13.828424,0,"TPS termination policy, not MPP.",DHS terminates Temporary Protected Status for Honduras,,"[""U.S. Citizenship and Immigration Services""]","[""TPS""]",data/sample_100/policies/1849__dhs-terminates-temporary-protected-status-for-honduras/documents/subsequent-action__6845__nan__8c39d66c05.pdf,"25-2581, 2025 WL 2017247 (9th Cir. July 18, 2025) does not require the Court to limit postponement to the individual named Plaintiffs. There, ImmDef, an organizational plaintiff, sought relief against the government’s reimplementation of Migrant Protection Protocols (“MPP”) because Case 3:25-cv-05687-TLT Document 73 Filed 07/31/25 Page 35 of 37 36 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 United States District Court Northern District of California reimplementation would impair ImmDef’s ability to represent their clients. 2025 WL 2017247 at *6–8. The Ninth Circuit “limit[ed] the district court’s § 705 Stay order to exempting ImmDef’s [current and future] clients from [Migrant Protection Protocols] MPP.” Id. at *14 (internal quotations omitted). In contrast, here, individual Plaintiffs seek relief from the Secretary’s TPS termination decisions and the standard remedy for these actions is to set aside an agency’s action if the action is found to be unlaw…"
migrant protection protocols,3,10.897373,0,"Categorical parole termination policy, not MPP.","EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes",,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]",data/sample_100/policies/1455__eo-securing-our-borders-7b-directs-termination-of-categorical-parole-programs-in/documents/subsequent-action__6410__nan__6b82b43539.pdf,"At a minimum, granting the stay would facilitate needless human suffering before the courts have reached a final judgment regarding the legal arguments at issue, while denying the Government’s application would not have anything close to that kind of practical impact. 7 Cite as: 605 U. S. ____ (2025) JACKSON, J., dissenting * * * With the stakes as high as they are in this case, measured in terms of real harm to real people, one might reasonably expect the Government to step up to equity’s scale with a mountain of harm-related arguments, bolstered by evi­ dence. The Government bears the burden of showing why it, or the public, will be irreparably injured should it be pre­ vented from exercising its policy preferences now—i.e., while the lawfulness of this agency action is being litigated. This Court has repeatedly denied similar stay requests from federal agencies in recent years, unmoved by the bald contention that the Government is irreparably harmed whenever its “substantial intere…"
migrant protection protocols,4,7.061854,0,"Travel-ban proclamation, not MPP.","POTUS issues Presidential Proclamation, removing Chad from Travel Ban",,"[""Bureau of Consular Affairs""]","[""Visitor"", ""Unspecified/Other""]",data/sample_100/policies/717__presidential-proclamation-removes-chad-from-travel-ban/documents/prior-policy__1617__sept-2017-presidential-proclamation-9645__d33f0397c0.pdf,"I therefore hereby proclaim the following: Section 1. Policy and Purpose. (a) It is the policy of the United States to protect its citizens from terrorist attacks and other public-safety threats. Screening and vetting protocols and procedures associated with visa adjudications and other immigration processes play a critical role in implementing that policy. They enhance our ability to detect foreign nationals who may commit, aid, or support acts of terrorism, or otherwise pose a safety threat, and they aid our eworts to prevent such individuals from entering the United States. (b) Information-sharing and identity-management protocols and practices of foreign governments are important for the ewectiveness of the screening and vetting protocols and procedures of the United States. Governments manage the identity and travel documents of their nationals and residents. They also control the circumstances under which they provide information about their nationals to other governments, inclu…"
migrant protection protocols,5,6.483159,1,Asylum cooperative agreements rule is border/asylum related but not MPP.,DHS Secretary ratifies interim final rule on Asylum Cooperative Agreements,,"[""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review"", ""Unspecified/Other""]","[""Unspecified/Other"", ""Asylum, Withholding and CAT"", ""Unspecified/Other""]",data/sample_100/policies/1985__homeland-security-secretary-noem-ratifies-interim-final-rule-pertaining-to-asylu/documents/subsequent-action__7288__nan__22cb73eb35.pdf,"In its motion, DHS stated that D.G. had not expressed a fear of being removed to Honduras, even though that motion was the first time Defendants had raised any possibility of removal to Honduras. D.G.’s case was continued, and he now fears that he will be removed to Honduras. In Honduras he fears violence stemming from his status as a Nicaraguan migrant, and he likewise fears that Honduras will immediately deport him to or otherwise require him to return to neighboring Nicaragua. 23. Plaintiff Y.A. fled her native Somalia after her stepmother subjected her to female genital mutilation and forced marriage to a much older man. Before the marriage could occur, members of Y.A.’s fiancé’s clan kidnapped her, and her fiancé tried to rape her. Y.A. fled Somalia for Kenya and South Africa but was unable to find safety in either country. As a result, she fled to the United States and briefly traveled through Honduras on the way. Y.A. entered the United States in October 2024, was detained by D…"
expedited removal procedures,1,13.723685,2,Credible-fear interview timing/procedure changes are closely tied to expedited removal.,Asylum seekers given less time to prepare for credible fear interviews,,"[""U.S. Citizenship and Immigration Services""]","[""Asylum, Withholding and CAT""]",data/sample_100/policies/93__asylum-seekers-given-less-time-to-prepare-for-credible-fear-interviews/documents/subsequent-action__250__lmm-v-cuccinelli-decison__fb7bab7bb1.pdf,"On the merits, the Court concludes that Cuccinelli was not lawfully appointed to serve as acting Director and that, as a result, he lacked authority to issue the reduced-time-to-consult and prohibition-on-extensions directives. The remedy for that deficiency, moreover, is compelled by the FVRA and the APA: the Asylum Directives must be set aside. Finally, having reached that conclusion, the Court need not—and does not—reach Plaintiffs’ alternative legal challenges. Case 1:19-cv-02676-RDM Document 34 Filed 03/01/20 Page 5 of 55 6 I. BACKGROUND A. The Expedited Removal System Congress first introduced the concept of expedited removal when it enacted the Illegal Immigration Reform and Immigrant Responsibility Act (“IIRIRA”) in 1996. Pub. L. No. 104208, Div. C, 110 Stat. 3009–546, 3009 (1996) (codified as amended in scattered sections of 8 U.S.C.). Expedited removal procedures allow the Department of Homeland Security (“the Department”) to remove a subset of aliens—those arriving at the b…"
expedited removal procedures,2,12.583907,2,"Asylum cooperative agreements rule relates to expedited removal asylum processing, but not purely procedural guidance.",DHS Secretary ratifies interim final rule on Asylum Cooperative Agreements,,"[""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review"", ""Unspecified/Other""]","[""Unspecified/Other"", ""Asylum, Withholding and CAT"", ""Unspecified/Other""]",data/sample_100/policies/1985__homeland-security-secretary-noem-ratifies-interim-final-rule-pertaining-to-asylu/documents/subsequent-action__7288__nan__22cb73eb35.pdf,"162. If applied in expedited removal proceedings, the safe third country provision must be applied through the statutory credible fear interview process, with its attendant procedural Case 1:20-cv-00116-EGS Document 157-1 Filed 09/08/25 Page 48 of 52 46 safeguards. Nothing in the safe third country provision purports to create an alternate expedited removal mechanism. 163. Because the Rule and Guidance provide for the expedited removal of asylum seekers without application of the low credible fear screening standard, right to consultation with and representation by counsel, and immigration judge review, the Rule and Guidance violate 8 U.S.C. § 1225(b)(1) and are contrary to law under the APA, 5 U.S.C. § 706(2)(A). SEVENTH CLAIM FOR RELIEF (Challenge to the Rule, Guidance, and Designations) (Violation of the APA, Arbitrary and Capricious) 164. The APA requires reasoned and reasonable policy-making. 165. The Rule, Guidance, and Designations are arbitrary and capricious in violation of t…"
expedited removal procedures,3,10.046111,0,"DACA deportation case, not expedited removal procedures.",DHS deports DACA recipient returning with advance parole,,"[""Customs and Border Protection"", ""Unspecified/Other""]","[""Border"", ""DACA""]",data/sample_100/policies/1663__dhs-deports-daca-recipients-with-advanced-parole/documents/new-policy__5785__nan__73878cb508.pdf,"52. Plaintiff has complied with each and every requirement Defendants imposed upon him. He has reapplied for DACA each time his permission expired, he has maintained employment consistent with his valid employment authorization and he has paid all fees required for each application-including the advance parole document he was given by USCIS. Despite each of these things, Defendants never alerted Plaintiff to any issues or concerns before he left the United States. Plaintiff in essence relied on Defendants when they granted his advance parole and authorized him to make a temporary trip abroad and return. 53. Plaintiff left the United States in reliance with Defendants grant of advance Case 3:25-cv-00801-X Document 1 Filed 04/02/25 Page 15 of 19 PageID 15 16 parole, but by then denying him permission to reenter the country, and subjecting him to expedited removal procedures., Defendants have effectuated the removal of the Plaintiff in means other than those authorized by Congress. 54. D…"
expedited removal procedures,4,9.85436,1,MPP is related to border processing but not expedited removal procedures.,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]",data/sample_100/policies/1417__eo-securing-our-borders-6-directs-dhs-dos-and-doj-to-resume-migrant-protection-p/documents/prior-policy__4894__nan__4ba9c1d5c8.pdf,"From Fiscal Years 2013 to 2019, nearly three-quarters of single adult and family unit members who were encountered at the SWB were either never placed in or released from detention during the pendency of their proceedings—more than 1.1 million (41 percent) were never booked into ICE detention and nearly 900,000 (33 percent) were booked in for a period of time but released prior to the conclusion of their removal proceedings.122 Even during the period that MPP was in effect from late January 2019 to January 20, 2021, more than two-thirds of single adults and individuals in family units encountered along the SWB and processed through non-MPP Title 8 authorities— more than 650,000 individuals—were never detained or released from ICE custody during the incorporated the new “case-by-case” requirement into its regulation, while also maintaining its longstanding regulatory authority to release when “continued detention is not in the public interest,” 8 C.F.R. § 212.5(b)(5), which remained co…"
expedited removal procedures,5,9.698937,0,"Categorical parole termination policy, not expedited removal.","EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes",,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]",data/sample_100/policies/1455__eo-securing-our-borders-7b-directs-termination-of-categorical-parole-programs-in/documents/subsequent-action__5934__nan__e8d61bb20b.pdf,"In this litigation, Defendants have repeatedly contended that Plaintiffs will have the opportunity to renew their requests for immigration benefits if placed in removal proceedings.20 But even if Plaintiffs can renew requests for certain benefits, some requests may very well be denied simply because Plaintiffs would no longer be in lawful status. Defendants’ positions are also inconsistent. Despite claiming Plaintiffs could renew requests in removal proceedings, Defendants: (1) are defending the FRN, which states that the revoking of parole is designed to ensure expedited removal (thereby avoiding removal proceedings); and (2) insist that Plaintiffs can be subjected to expedited removal proceedings while acknowledging, at a hearing before this court, that Plaintiffs could not renew most immigration benefits requests if placed in expedited proceedings. See infra Part IV.A. Finally, Defendants neglect to mention that the Davidson Memorandum—which Defendants maintain is lawful—imposed an…"
ICE detention standards,1,12.836853,0,"Not about ICE detention standards; focuses on EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Mi.","EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]",data/sample_100/policies/1417__eo-securing-our-borders-6-directs-dhs-dos-and-doj-to-resume-migrant-protection-p/documents/prior-policy__4894__nan__4ba9c1d5c8.pdf,"In September 2021, for example, CBP encountered approximately 192,000 individuals along the SWB.121 And as discussed above, even in August 2019, when MPP enrollments were at their zenith, CBP encountered nearly 63,000 individuals along the SWB. Meanwhile, ICE Enforcement and Removal Operations (ERO) is generally appropriated for approximately 34,000 detention beds nationwide with some modest fluctuation from year to year. This variance between border crossings and detention capacity is not new and was in fact the reality even when MPP was in place (see Appendix 1). From Fiscal Years 2013 to 2019, nearly three-quarters of single adult and family unit members who were encountered at the SWB were either never placed in or released from detention during the pendency of their proceedings—more than 1.1 million (41 percent) were never booked into ICE detention and nearly 900,000 (33 percent) were booked in for a period of time but released prior to the conclusion of their removal proceedings…"
ICE detention standards,2,10.456516,0,Not about ICE detention standards; focuses on President Trump proposes cutting funding to E-Verify pr.,President Trump proposes cutting funding to E-Verify program,,"[""U.S. Citizenship and Immigration Services""]","[""Employment Verification""]",data/sample_100/policies/549__president-trump-proposes-cutting-funding-to-e-verify-program/documents/new-policy__1279__border-security-2020-budget-fact-sheet__bfe3e4e0a7.pdf,"borders. • The Budget continues implementation of the President’s direction to hire 5,000 additional Border Patrol Agents and 10,000 ICE officers and investigators. The Budget proposes $478 million to hire and support 1,750 additional law enforcement officers and agents at CBP and ICE. Specifically: o CBP: The Budget proposes $164 million to hire and support an additional 750 U.S. Border Patrol Agents to interdict people, illicit drugs, and contraband illegally entering the United States between ports of entry. o ICE: The Budget proposes $314 million to hire and support an additional 1,000 Law Enforcement Officers, 128 immigration prosecuting attorneys, and 538 critical support staff to support the President’s direction to increase interior immigration enforcement. • The Budget invests $28 million for additional staffing for the screening of people and goods entering the United States at the ports of entry. This increase includes 171 new Customs and Border Protection Officers (CBPOs),…"
ICE detention standards,3,9.075625,0,Not about ICE detention standards; focuses on DHS Secretary ratifies interim final rule on Asylum Coo.,DHS Secretary ratifies interim final rule on Asylum Cooperative Agreements,,"[""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review"", ""Unspecified/Other""]","[""Unspecified/Other"", ""Asylum, Withholding and CAT"", ""Unspecified/Other""]",data/sample_100/policies/1985__homeland-security-secretary-noem-ratifies-interim-final-rule-pertaining-to-asylu/documents/subsequent-action__7288__nan__22cb73eb35.pdf,"border or who present themselves at ports of entry. CBP makes the initial determination whether an individual in expedited removal is “amenable” to removal pursuant to an ACA and, if so, refers the individual to USCIS for a “threshold screening interview.” 36. Defendant Todd Lyons is the Acting Director of ICE. He is sued in his official capacity. 37. Defendant ICE is the sub-agency of DHS that is responsible for carrying out removal orders and overseeing immigration detention. Case 1:20-cv-00116-EGS Document 157-1 Filed 09/08/25 Page 15 of 52 13 FACTS Protections for People Fleeing Persecution and Torture 38. Federal law provides three primary forms of protection for individuals fleeing persecution and torture: asylum under 8 U.S.C. § 1158; withholding of removal under 8 U.S.C. § 1231(b)(3); and protection under the Convention Against Torture (“CAT”), see 8 C.F.R. § 1208.16-18. 39. Asylum affords protection to individuals who have a “well-founded fear of persecution” on account of ra…"
ICE detention standards,4,8.932792,0,"Not about ICE detention standards; focuses on EOIR issues guidance on Pereira v. Sessions, announcing.","EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling",,"[""Customs and Border Protection"", ""Immigration and Customs Enforcement"", ""U.S. Citizenship and Immigration Services"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]",data/sample_100/policies/198__eoir-releases-memo-on-acceptance-of-ntas-use-of-interactive-scheduling-system/documents/biden-administration-policy__4643__nan__cf28508307.pdf,"OOD PM 24-01 To: All of EOIR From: Mary Cheng, Acting Director Date: August 22, 2024 Digitally signed by MARY MARY CHENG Date: 2024.08.22 CHENG 08:33:32 -04'00' UPDATED GUIDANCE FOR RECEIPT OF NOTICES TO APPEAR FILED BY THE DEPARTMENT OF HOMELAND SECURITY PURPOSE: Provide updated standards regarding receipt of Notices to Appear filed by the Department of Homeland Security. OWNER: Office of the Director. AUTHORITY: 8 C.F.R. § 1003.0(b)(1); 8 C.F.R. § 1003.14(a). CANCELLATION: Policy Memorandum 19-08, Acceptance of Notices to Appear and Use of the Interactive Scheduling System. This Policy Memorandum provides updated standards to Executive Office for Immigration Review (EOIR) adjudicators and personnel regarding the receipt of Notices to Appear (NTAs) filed by the Department of Homeland Security (DHS). This Policy Memorandum supersedes and rescinds Policy Memorandum 19-08, Acceptance of Notices to Appear and Use of the Interactive Scheduling System. I. Failure to Prosecute and Filing of…"
ICE detention standards,5,7.844092,0,"Not about ICE detention standards; focuses on EO 14165 § 7(b) directs termination of ""categorical par.","EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes",,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]",data/sample_100/policies/1455__eo-securing-our-borders-7b-directs-termination-of-categorical-parole-programs-in/documents/subsequent-action__5420__nan__db4fde94c8.pdf,"In another executive order signed that day—Executive Order 14159, entitled “Protecting the American People Against Invasion”—President Trump directed the Secretary of Homeland Security (among others) to “rescind the policy decisions of the previous administration that led to the increased or continued presence of illegal aliens in the United States,” including by “[e]nsuring that the parole authority . . . is exercised only on a case-by-case basis in accordance with the plain language of the statute, and in all circumstances only when an individual alien demonstrates urgent humanitarian reasons or a significant public benefit derived from their particular continued presence in the United States arising from such parole.” 123. And in yet another order signed that day—Executive Order 14161, entitled “Protecting the United States from Foreign Terrorists and Other National Security and Public Safety Threats”—President Trump ordered the Secretary of Homeland Security “to ensure that all al…"
asylum cooperative agreements interim final rule,1,23.236956,3,Directly about DHS interim final rule on asylum cooperative agreements.,DHS Secretary ratifies interim final rule on Asylum Cooperative Agreements,,"[""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review"", ""Unspecified/Other""]","[""Unspecified/Other"", ""Asylum, Withholding and CAT"", ""Unspecified/Other""]",data/sample_100/policies/1985__homeland-security-secretary-noem-ratifies-interim-final-rule-pertaining-to-asylu/documents/subsequent-action__7288__nan__22cb73eb35.pdf,"Likely also due to the COVID-19 pandemic, the 2019 ACAs with Honduras and El Salvador were never implemented under the first Trump administration. The Biden Administration Terminated the 2019 ACAs But Failed to Rescind the Rule 88. On February 2, 2021, former President Biden directed the Attorney General and DHS Secretary to “promptly review and determine whether to rescind the interim final rule” at issue in this case “as well as any agency memoranda or guidance issued in reliance on that rule.” Executive Order 14010, 86 Fed. Reg. 8267, 8270. That executive order further directed the Secretary of State to “promptly consider whether to notify the governments of” Guatemala, Honduras, and El Salvador that “the United States intends to suspend and terminate” the 2019 ACAs with those countries. Id. 89. On February 6, 2021, the State Department announced that “the United States ha[d] suspended and initiated the process to terminate the Asylum Cooperative Agreements with the Governments of …"
asylum cooperative agreements interim final rule,2,14.095162,0,"Refugee resettlement agency action, not asylum cooperative agreements rule.",State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,,"[""Unspecified/Other""]","[""Refugees"", ""Unspecified/Other""]",data/sample_100/policies/1450__report-tump-memo-bars-resettlement-agencies-from-providing-services-to-refugees-/documents/subsequent-action__5340__nan__47540f811e.pdf,"Although the suspension letter mentioned in passing an Executive Order pausing foreign aid, that Executive Order on its face does not apply to USCCB’s cooperative agreements, which exclusively provide “domestic assistance” to government-vetted refugees located in the United States. 8 U.S.C. § 1522(a)(3) (emphasis added). And the suspension letter’s nebulous reference to the State Department’s policy priorities did nothing to explain why USCCB’s agreements—suddenly after decades of continuity—might be inconsistent with those priorities. The government also has given no explanation for its tacit refusal to reimburse preJanuary 24 expenses under USCCB’s cooperative agreements. 11. Third, the Refugee Funding Suspension is unlawful because it was done without public notice and opportunity to comment. 5 U.S.C. § 553. The suspension is a legislative or substantive rule because it prospectively alters the legal rights or interests of USCCB and thousands of refugees already present in the Unit…"
asylum cooperative agreements interim final rule,3,13.36732,0,"Public charge final rule, not asylum cooperative agreements.",USCIS issues final rule on public charge inadmissibility grounds,,"[""U.S. Citizenship and Immigration Services""]","[""Unspecified/Other"", ""Unspecified/Other""]",data/sample_100/policies/766__uscis-issues-final-rule-on-public-charge-inadmissibility-grounds/documents/biden-administration-policy__3415__nan__2190fd68a6.pdf,"Public Charge USCIS is no longer applying the August 2019 Public Charge Final Rule. As a consequence, among other changes, USCIS will apply the public charge inadmissibility statute consistent with the 1999 Interim Field Guidance. In other words, USCIS is not considering an applicant’s receipt of Medicaid (except for long-term institutionalization at the government’s expense), public housing, or Supplemental Nutrition Assistance Program (SNAP) benefits as part of the public charge inadmissibility determination. Background On Nov. 2, 2020, the U.S. District Court for the Northern District of Illinois vacated the Inadmissibility on Public Charge Grounds final rule (84 Fed. Reg. 41,292 (Aug. 14, 2019)), as amended by Inadmissibility on Public Charge Grounds; Correction, 84 Fed. Reg. 52,357 (Oct. 2, 2019) (Public Charge Final Rule) nationwide. That decision was stayed by the U.S. Court of Appeals for the Seventh Circuit. On March 9, 2021, the Seventh Circuit lifted its stay and the U.S. D…"
asylum cooperative agreements interim final rule,4,12.596436,0,"DOL H‑2A wage rule, not asylum cooperative agreements.",DOL issues interim final rule on Adverse Effect Wage Rate for H-2A agricultural laborers,,"[""Unspecified/Other""]","[""Unspecified/Other""]",data/sample_100/policies/2009__dol-issues-interim-final-rule-on-adverse-effect-wage-rate-for-h-2a-agricultural-/documents/subsequent-action__7862__nan__2f321fde08.pdf,"workers. Moreover, regardless of the data DOL Case 1:25-cv-01614-KES-CDB Document 1 Filed 11/21/25 Page 38 of 46 39 COMPLAINT 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 uses, DOL can abandon the arbitrary “two-tier” system, the unjustifiable housing deduction, and the primary duty rule. COUNT TWO (VIOLATION OF ADMINISTRATIVE PROCEDURE ACT, 5 U.S.C. §706) The Interim Final Rule Is Arbitrary and Capricious 119. Plaintiffs incorporate by reference the allegations of the preceding paragraphs. 120. The APA requires this Court to hold unlawful and set aside agency action that is “arbitrary, capricious, an abuse of discretion, or otherwise not in accordance with law.” 5 U.S.C. § 706(2)(A). Agency action that is not the product of reasoned decision-making is arbitrary and capricious. See Motor Vehicle Mfrs. Ass’n of United States, Inc. v. State Farm Mut. Auto. Ins. Co., 463 U.S. 29, 43 (1983). To satisfy that core requirement, an agency must provide a reasoned …"
asylum cooperative agreements interim final rule,5,12.109779,2,"Asylum-related communicable-disease bars, but not asylum cooperative agreements.",EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility,,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review""]","[""Asylum, Withholding and CAT""]",data/sample_100/policies/983__dhs-and-doj-propose-adding-public-health-grounds-to-asylum-and-withholding-of-re/documents/biden-administration-policy__4828__nan__a4df37a736.pdf,"105386 TABLE 4—FGIS BILLED ACCOUNTS SUMMARY TABLE FOR REGULATORY FLEXIBILITY ANALYSIS BY SMALL BUSINESS ADMINISTRATION SIZE CLASSIFICATION—Continued Fiscal year All firms Large firms Small firms Total fees paid Total fees paid Share paid (%) Total fees paid Share paid (%) Grand Total ................................................................... 167,481,991 148,706,765 89 18,775,226 11 The revised fees implemented by the interim rule and adopted herein do not change the relative burden of fees on small businesses. The provisions of this final rule will apply equally to all entities. The revised fees will benefit all inspection applicants, regardless of size, as the fees more closely reflect the current costs of inspections. Finally, this final rule will not impose additional reporting, record keeping, or other compliance requirements on small entities. FGIS has not identified any other Federal rules which may duplicate, overlap, or conflict with this final rule. Executive Order 1…"
unaccompanied children ORR release policies,1,23.43811,2,ORR forms/services for unaccompanied children; related but not specifically release policy.,ORR proposes revisions to forms for services provided to unaccompanied children,,"[""Office of Refugee Resettlement""]","[""Minors""]",data/sample_100/policies/1721__orr-proposes-revisions-to-forms-pertaining-to-services-provided-to-unaccompanied/documents/new-policy__6128__nan__e0cb1e5b51.pdf,"279 – Transfers responsibilities for the care and placement of unaccompanied alien children from the Commissioner of the former Immigration and Naturalization Service (INS) to the Director of ORR. William Wilberforce Trafficking Victims Protection Reauthorization Act of 2008 (TVPRA), 8 U.S.C. 1232 – Creates, consistent with the HSA, additional requirements for the placement, care, and release of unaccompanied alien children in federal custody. The TVPRA also directs ORR to create policies to ensure unaccompanied alien children are protected from traffickers and others seeking to victimize them or otherwise engage them in criminal, harmful, or exploitative activity. Unaccompanied Children Program Foundational Rule, 45 C.F.R. Part 410 – Establishes a uniform set of standards and procedures concerning the placement (Part 410.1100 – 1109), care (Part 410.1000 – 11004), and services (Part 410.1300 – 1311) provided to unaccompanied alien children in ORR care that is consistent with ORR’s st…"
unaccompanied children ORR release policies,2,20.114318,3,Directly about ORR Director-level authorization for custodial releases.,ORR requires Director-level authorization of custodial releases of certain unaccompanied children,,"[""Office of Refugee Resettlement""]","[""Detention"", ""Interior"", ""Minors""]",data/sample_100/policies/1342__orr-implements-policy-requiring-director-review-of-releases-of-unaccompanied-chi/documents/other__4465__nan__5e014a3b76.pdf,"Policies related to influx care facilities are under Section 7. Section 2: Safe and Timely Release from ORR Care 1/27/15 Not Applicable 2.1 Summary of the Safe and Timely Release Process 1/27/15 6/18/19 - Revised wording to provide clarity. 2.2 Application for the Safe & Timely Release of UAC from ORR Care 1/27/15 6/18/19 - Renamed section and revised wording to provide clarity. 2.2.1 Identification of Qualified Sponsors 1/27/15 4/7/15 - Clarification that first cousins are Category 2 sponsors 4/11/16 - Clarification of sponsor category for children of unaccompanied alien children. 6/18/19 - Split category 2 sponsors into two separate sponsor categories, category 2A and category 2B. 3/8/2022-Clarifies what category of sponsorship applies for cases where a UC enters the United States with their biological child for each UC. 2.2.2 Contacting Potential Sponsors 1/27/15 Not Applicable 2.2.3 The Application for Release 1/27/15 8/24/15 - Added clarification that care providers confirm the r…"
unaccompanied children ORR release policies,3,14.662319,0,"MPP policy, not ORR release policies.","EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]",data/sample_100/policies/1417__eo-securing-our-borders-6-directs-dhs-dos-and-doj-to-resume-migrant-protection-p/documents/subsequent-action__7315__nan__4d3ed281b4.pdf,"Nor will the court define precisely what constitutes a meaningful opportunity to access TVPRA protections; it suffices to say that MPP-unaccompanied children must be provided a meaningful opportunity to access these rights. For instance, the TVPRA envisions that children will have extended timelines to develop and present asylum claims – their exemption from the one-year deadline to apply for asylum means that the children should have extended timelines, i.e., at least more than a year to do so. Rushing to remove a child within a matter of days or weeks would not comply with the injunction. Any efforts to remove children must comply with the TVPRA and the procedural safeguards set forth in this Order. B. Identification and Notice Safeguards. The government shall adopt safeguards and take steps to identify MPP-unaccompanied children encountered by defendants, and provide adequate and timely written notice of an unaccompanied child’s MPP status to the child, the ORR shelters in which an…"
