query,rank,score,chunk_id,entry_id,attachment_id,page_start,page_end,title,administration,agencies_affected,subject_matter,source_path,matched_attachment_ids,matched_doc_ids,matched_chunk_ids,matched_count,best_rank,snippet
migrant protection protocols,1,0.802949,1417_pdf_4892_p0001-p0001_h46e218765b72bdad,1417,4892,1,1,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]",data/sample_100/policies/1417__eo-securing-our-borders-6-directs-dhs-dos-and-doj-to-resume-migrant-protection-p/documents/prior-policy__4892__nan__47d01c1478.pdf,"[""4892"", ""4894"", ""6103"", ""5968"", ""4891"", ""7315"", ""5179"", ""6789""]","[""4892"", ""1417"", ""4894"", ""6103"", ""5968"", ""4891"", ""7315"", ""5179"", ""6789""]","[""1417_pdf_4892_p0001-p0001_h46e218765b72bdad"", ""1417_ttl_h93658e365e54597a"", ""1417_pdf_4894_p0001-p0001_h3fcb67f9cb2aabfa"", ""1417_pdf_4894_p0003-p0004_h317c3ee2c58fa175"", ""1417_pdf_6103_p0001-p0001_hca5c5af6edb88095"", ""1417_sum_hf28aa47602cda6e5"", ""1417_pdf_5968_p0004-p0004_h62dde85ff2a6796e"", ""1417_pdf_4894_p0032-p0033_h6f02d4ac9e45a568"", ""1417_pdf_4891_p0001-p0001_h03bf8d29dbf832c0"", ""1417_pdf_4894_p0031-p0031_hd23991a1b88d9322"", ""1417_pdf_4892_p0002-p0002_h99333dc05d6c9b1a"", ""1417_pdf_4894_p0012-p0013_hf9b4d8b1c6ae6698"", ""1417_pdf_4892_p0001-p0002_haf502c740d592020"", ""1417_pdf_4894_p0017-p0017_h2746a97b19c13189"", ""1417_pdf_4894_p0015-p0015_h1d901ce8ec23900b"", ""1417_pdf_5968_p0005-p0006_h34672c2e91224ecb"", ""1417_pdf_4894_p0005-p0005_h07bbd4a658514b33"", ""1417_pdf_4894_p0008-p0008_h255850d5e1a5d666"", ""1417_pdf_7315_p0004-p0005_h087c2de3f95c6f48"", ""1417_pdf_5179_p0001-p0001_hd488e98bf756f36d"", ""1417_pdf_5179_p0001-p0002_h8e747591129f323a"", ""1417_pdf_4894_p0035-p0036_h03c5349c6618e8ab"", ""1417_pdf_6789_p0005-p0005_h716fdf00a5580cfa"", ""1417_pdf_6789_p0002-p0003_h55c7e69cba9389ef"", ""1417_pdf_7315_p0002-p0002_h3bc05efc3b3bdb3a"", ""1417_pdf_4894_p0032-p0032_hcb3ef03fa019e28b"", ""1417_pdf_4894_p0016-p0016_h1e3e85045dbfdf64"", ""1417_pdf_4894_p0013-p0014_h52115fcd828f172b"", ""1417_pdf_4894_p0033-p0033_hce96abe2ca09f0ce"", ""1417_pdf_4894_p0007-p0008_hdd9a5a91c2d89b20""]",30,1,"Section 6 of Executive Order (EO) 14165 ""Securing Our Borders"" directs the Secretary of Homeland Security, as soon as practicable, to work with the Secretary of State and the Attorney General to ""take all appropriate action to resume the Migrant Protection Protocols [MPP or ""Remain in Mexico"" program] in all sectors along the southern border and ensure that, pending removal proceedings, aliens described in section 235(b)(2)(C) of the INA (8 U.S.C. § 1225(b)(2)(C)) are returned to the territory from which they came."" Trump 2.0 [ID # 1417]"
migrant protection protocols,2,0.732355,1455_pdf_5934_p0002-p0003_hc1e863a1cb85314a,1455,5934,2,3,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes",,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]",data/sample_100/policies/1455__eo-securing-our-borders-7b-directs-termination-of-categorical-parole-programs-in/documents/subsequent-action__5934__nan__e8d61bb20b.pdf,"[""5934"", ""5715"", ""6408""]","[""5934"", ""5715"", ""6408""]","[""1455_pdf_5934_p0002-p0003_hc1e863a1cb85314a"", ""1455_pdf_5715_p0002-p0002_h6f9f5a6b293ea899"", ""1455_pdf_6408_p0006-p0006_h9d896f44bc68065c"", ""1455_pdf_5715_p0001-p0002_h6dd7a577220d736c""]",4,10,"The CHNV Processes On October 19, 2022, the Department of Homeland Security (“DHS”) announced an effort to address the increasing number of Venezuelan nationals arriving at the southern border of the United States by “coupl[ing] a meaningful incentive to seek a lawful, safe and orderly means of traveling to the United States with the imposition of consequences for those who seek to enter irregularly.” Implementation of a Parole Process for Venezuelans, 87 Fed. Reg. 63507 (Oct. 19, 2022). Under the program, individuals who passed a national security and public safety vetting and who had a supporter in the United States who agreed to provide housing and other support could receive an advanced authorization to travel to the United States for the purposes of seeking, on a case-by-case basis, a discretionary grant of parole at an internal port of entry. See 1 An “alien” is “any person not a citizen or national of the United States.” Id. § 1101(a)(3). Case 1:25-cv-10495-IT Document 97 Filed…"
migrant protection protocols,3,0.727705,211_pdf_4519_p0001-p0001_hdd7da366d40e2a9f,211,4519,1,1,EOIR expands BIA to 21 judges,,"[""Executive Office for Immigration Review""]","[""Unspecified/Other""]",data/sample_100/policies/211__eoir-expands-bia-to-21-members/documents/biden-administration-policy__4519__nan__fb5ac8bb2e.pdf,"[""4519""]","[""4519""]","[""211_pdf_4519_p0001-p0001_hdd7da366d40e2a9f""]",1,15,"These processes do not create or confer any legal right, privilege, or benefit on the applicant or participant, and are wholly discretionary on the part of CBP. The methods of redress are: (1) DHS Traveler Redress Inquiry Program (DHS TRIP). The applicant/ participant may choose to initiate the redress process through DHS TRIP. An applicant/participant seeking redress may obtain the necessary forms and information to initiate the process on the DHS TRIP website, or by contacting DHS TRIP by mail at the address on this website. (2) Ombudsman. Applicants and participants may contest a denial or removal from the program by submitting a reconsideration request to the CBP Trusted Traveler Ombudsman through the TTP System or other CBP-approved process. Alejandro N. Mayorkas, Secretary of Homeland Security. [FR Doc. 2024–06851 Filed 4–1–24; 8:45 am] BILLING CODE 9111–14–P DEPARTMENT OF JUSTICE Executive Office for Immigration Review 8 CFR Part 1003 [EOIR Docket No. EOIR 20–0010; A.G. Order N…"
migrant protection protocols,4,0.724132,1849_pdf_6845_p0009-p0009_h6816124b13b4752e,1849,6845,9,9,DHS terminates Temporary Protected Status for Honduras,,"[""U.S. Citizenship and Immigration Services""]","[""TPS""]",data/sample_100/policies/1849__dhs-terminates-temporary-protected-status-for-honduras/documents/subsequent-action__6845__nan__8c39d66c05.pdf,"[""6845""]","[""6845""]","[""1849_pdf_6845_p0009-p0009_h6816124b13b4752e""]",1,17,"9 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 United States District Court Northern District of California 1254a(c)(2)(B). Those who qualify for TPS are protected from removal and are granted work authorization. Id. at § 1254a(a). TPS applicants must also pay all fees associated with applying for TPS. Id. at § 1254a(c)(1)(B). B. Congressional Intent of TPS The Immigration Act created TPS in the context of Congress’ concern for the United States’ obligations under the United Nations Protocol Relating to the Status of Refugees. H.R. Rep. No. 101-244, at 7 (1989). Under the protocol, the United States committed itself to not return individuals to countries where they face threats to life or freedom because of persecution on the basis of race, religion, nationality, or other factors. Id. This principle of “nonrefoulment” is now recognized as binding as a rule of customary international law. See JILL H. WILSON, supra at 1–2. Another key factor motivating Cong…"
migrant protection protocols,5,0.723061,983_pdf_3567_p0001-p0001_h477ae081621af0be,983,3567,1,1,EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility,,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review""]","[""Asylum, Withholding and CAT""]",data/sample_100/policies/983__dhs-and-doj-propose-adding-public-health-grounds-to-asylum-and-withholding-of-re/documents/biden-administration-policy__3567__nan__19067067de.pdf,"[""3567""]","[""983"", ""3567""]","[""983_ttl_h7384c7e58998a0f8"", ""983_pdf_3567_p0001-p0001_h477ae081621af0be""]",2,19,"6/14/2021 https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1615-AC69&operation=OPERATION_PRINT_RULE https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1615-AC69&operation=OPERATION_PRINT_RULE 1/1 RIN Data DHS/USCIS RIN: 1615-AC69 Publication ID: Spring 2021 Title: ●Bars to Asylum Eligibility and Procedures Abstract: In 2020, the Department of Homeland Security and Department of Justice (collectively, the Departments) published final rules amending their respective regulations governing bars to asylum eligibility and procedures, including the Procedures for Asylum and Bars to Asylum Eligibility, (RINs 1125-AA87 and 1116-AC41), 85 FR 67202 (Oct. 21, 2020), Asylum Eligibility and Procedural Modifications, (RINs 1125-AA91 and 1615AC44), 85 FR 82260 (Dec. 17, 2020) and Security Bars and Processing, (RINs 1125-AB08 and 1615-AC57), 85 FR 84160, (Dec. 23, 2020) final rules. The Departments propose to modify or rescind the regulatory changes promulgated in the…"
expedited removal procedures,1,0.748502,93_pdf_250_p0020-p0020_h64167115aebfd0d1,93,250,20,20,Asylum seekers given less time to prepare for credible fear interviews,,"[""U.S. Citizenship and Immigration Services""]","[""Asylum, Withholding and CAT""]",data/sample_100/policies/93__asylum-seekers-given-less-time-to-prepare-for-credible-fear-interviews/documents/subsequent-action__250__lmm-v-cuccinelli-decison__fb7bab7bb1.pdf,"[""250""]","[""250""]","[""93_pdf_250_p0020-p0020_h64167115aebfd0d1"", ""93_pdf_250_p0053-p0054_h1f73f852205b1c98"", ""93_pdf_250_p0018-p0019_ha69ecf7704808a60"", ""93_pdf_250_p0017-p0018_ha7336ed4b4a2860f"", ""93_pdf_250_p0012-p0013_h698fbe468576ea2a"", ""93_pdf_250_p0018-p0018_ha9b5f88ba1678c73"", ""93_pdf_250_p0019-p0020_h1e1f5b90c41394f0"", ""93_pdf_250_p0005-p0006_he6f24ca6d144c904"", ""93_pdf_250_p0021-p0022_h12e030e101068f7b""]",9,1,"is implemented. 8 U.S.C. § 1252(e)(3).4 Under § 1252(e)(3), a court has jurisdiction to review “determinations” made in the expedited removal context if three conditions are satisfied: First, the plaintiff must challenge the constitutionality or lawfulness of § 1225(b)—IIRIRA’s expedited removal provision—or the constitutionality or lawfulness of “a regulation, written policy directive, written policy guidance, or written procedure” adopted to implement that provision. 8 U.S.C. § 1252(e)(3)(A). Second, the challenge must be “instituted in the United States District Court for the District of Columbia.” Id. Third, the action “must be filed no later than 60 days after the date the challenged section, regulation, directive, guidance, or procedure . . . is first implemented.” Id. § 1252(e)(3)(B). 4 Although IIRIRA refers to actions taken “by or under the authority of the Attorney General,” 8 U.S.C. § 1252(e)(3), those authorities were transferred to the Department of Homeland Security and …"
expedited removal procedures,2,0.747454,1663_pdf_5785_p0006-p0007_he5836d2566776552,1663,5785,6,7,DHS deports DACA recipient returning with advance parole,,"[""Customs and Border Protection"", ""Unspecified/Other""]","[""Border"", ""DACA""]",data/sample_100/policies/1663__dhs-deports-daca-recipients-with-advanced-parole/documents/new-policy__5785__nan__73878cb508.pdf,"[""5785""]","[""5785""]","[""1663_pdf_5785_p0006-p0007_he5836d2566776552"", ""1663_pdf_5785_p0009-p0010_h2ee0c6047e691fa4"", ""1663_pdf_5785_p0015-p0016_h46e146f0441f76ac"", ""1663_pdf_5785_p0002-p0002_hba0e3b3f2772cc64""]",4,2,"§1001.1(q) (an alien granted advance parole which the alien applied for and obtained in the United States prior to the alien's departure from and return to the United States, shall not be considered an arriving alien for purposes of section 235(b)(1)(A)(i) of the Act [the provision allowing for expedited removal without recourse to a hearing]). 22. Thus, a returning non-citizen previously granted Advance Parole may not placed into Expedited Removal proceedings; rather, they must be placed into regular Removal Proceedings under §1229a (INA §240), unless that individual is an aggravated felon, in which case the provisions of §1228(b) (INA §238(b)) are applicable. The regulations do not create any exception to issuance where there is a removal order in place. 23. The Fifth Circuit and the Board of Immigration Appeals have recognized that an individual with a removal order may still utilize an advance parole document to travel out of the US and return without consequence. See Duarte v. Ma…"
expedited removal procedures,3,0.739184,1455_pdf_5934_p0032-p0033_h2e3b3aca86f95e8c,1455,5934,32,33,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes",,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]",data/sample_100/policies/1455__eo-securing-our-borders-7b-directs-termination-of-categorical-parole-programs-in/documents/subsequent-action__5934__nan__e8d61bb20b.pdf,"[""5934"", ""7289""]","[""5934"", ""7289""]","[""1455_pdf_5934_p0032-p0033_h2e3b3aca86f95e8c"", ""1455_pdf_7289_p0015-p0016_hb766dfca4fc57ffc"", ""1455_pdf_7289_p0016-p0017_h3eb848abc045ed05"", ""1455_pdf_7289_p0027-p0028_hbd3f0799d41db911"", ""1455_pdf_5934_p0007-p0008_hfc65115cb1777741"", ""1455_pdf_5934_p0031-p0032_hc616f93dad70481c"", ""1455_pdf_7289_p0030-p0031_h4e94964d6ac33a47""]",7,4,". that the alien has been physically present in the United States continuously for the 2-year period immediately prior to the date of the determination of inadmissibility under this subparagraph.” 8 U.S.C. §§ 1225(b)(1)(A)(i), 1225(b)(1)(A)(iii)(II). The statute thus allows for expedited removal for a non-citizen “arriving in the United States” (i.e., arriving at the border or a port of entry) and for a non-citizen who entered the United States without authorization, except that a non-citizen who entered the United States without authorization, that is an individual who “has not been paroled or admitted into the United States,” may not be subject to the expedited removal period if that individual has been present in the United States for two years. The statute does not subject persons who were authorized to enter the United States to expedited removal, regardless of how long they have been in the United States. Citing a case from the 11th Circuit, Defendants respond that the use of th…"
expedited removal procedures,4,0.736883,1985_pdf_8162_p0002-p0002_hf1ede5cdc15e16f2,1985,8162,2,2,DHS Secretary ratifies interim final rule on Asylum Cooperative Agreements,,"[""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review"", ""Unspecified/Other""]","[""Unspecified/Other"", ""Asylum, Withholding and CAT"", ""Unspecified/Other""]",data/sample_100/policies/1985__homeland-security-secretary-noem-ratifies-interim-final-rule-pertaining-to-asylu/documents/subsequent-action__8162__nan__58b74e2482.pdf,"[""8162"", ""7288"", ""8163""]","[""8162"", ""7288"", ""8163""]","[""1985_pdf_8162_p0002-p0002_hf1ede5cdc15e16f2"", ""1985_pdf_7288_p0040-p0041_ha8dd5d4b58bccde8"", ""1985_pdf_7288_p0048-p0049_h01cdad4455f84f4b"", ""1985_pdf_7288_p0044-p0045_h1ab1fca804ea6cd2"", ""1985_pdf_7288_p0022-p0023_h1e84054128f091fe"", ""1985_pdf_7288_p0015-p0016_h5c57fd7efff9a80b"", ""1985_pdf_8163_p0003-p0003_hee6f4cd1c99ec0dc"", ""1985_pdf_7288_p0019-p0019_hab7e0a93c4cef673""]",8,5,"§ 1158(a)(2)(A). See Implementing Bilateral and Multilateral Asylum Cooperative Agreements Under the Immigration and Nationality Act, 84 Fed. Reg. 63994 (Nov. 19, 2019). The Rule provides mechanisms for Defendants to bar asylum to noncitizens in both expedited removal proceedings and regular Section 240 removal proceedings in immigration court and instead remove the noncitizens, pursuant to international agreements, to countries other than the noncitizens’ countries of origin. The government issued the Rule on November 19, 2019. 84 Fed. Reg. 63994. Plaintiffs filed their initial complaint on January 15, 2020. That filing meant that this suit is timely as to the Rule and the original expedited removal Guidance under the 60-day filing deadline set forth in 8 U.S.C. § 1252(e)(3) for actions challenging new expedited removal regulations and policies. The parties filed cross-motions for summary judgment, and briefing was completed on those motions on April 29, 2020. However, implementation…"
expedited removal procedures,5,0.733716,1417_pdf_4894_p0035-p0036_h03c5349c6618e8ab,1417,4894,35,36,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]",data/sample_100/policies/1417__eo-securing-our-borders-6-directs-dhs-dos-and-doj-to-resume-migrant-protection-p/documents/prior-policy__4894__nan__4ba9c1d5c8.pdf,"[""4894"", ""5968"", ""6789""]","[""4894"", ""5968"", ""6789""]","[""1417_pdf_4894_p0035-p0036_h03c5349c6618e8ab"", ""1417_pdf_4894_p0031-p0031_hd23991a1b88d9322"", ""1417_pdf_4894_p0018-p0018_h2e3fd445ea0e8545"", ""1417_pdf_4894_p0010-p0010_h2cabe2a6a7615144"", ""1417_pdf_5968_p0020-p0021_h25163c5255477394"", ""1417_pdf_6789_p0009-p0010_hc9ae35dc5adae958"", ""1417_pdf_4894_p0015-p0015_h1d901ce8ec23900b"", ""1417_pdf_4894_p0028-p0029_h5dfa4038c0d1d9b0"", ""1417_pdf_4894_p0015-p0015_h40dc411f2328c4be""]",9,7,"25, 2021. 139 Data from ICE ERO Custody Management Division FY14, 15, 16, 17, 18, 19, 20, and 21 through Aug. 31, 2021 FAMU BP Apprehensions-Subsequently Enrolled into ATD, ISAP IV EOIR Court Appearance Rates FY14 & FY15 & FY16 & FY17 & FY18 & FY19 & FY20 & FY21 through Aug. 31, 2021. 140 Procedures for Credible Fear Screening and Consideration of Asylum, Withholding of Removal, and CAT Protection Claims by Asylum Officers, 86 Fed. Reg. 46,906 (Aug. 20, 2021). 141 Id. at 46,907. 142 Id. 35 it adopted MPP—and to a number of the concerns relied upon by the Texas court—but tackles them in a transformative and systemic way, while holding true to our laws and values. To support the more expeditious and fair adjudication of claims, the proposed rule would transfer from immigration judges to USCIS asylum officers the initial responsibility for adjudicating asylum and related protection claims made by noncitizens who are encountered at or near the border and who are placed into expedited remo…"
ICE detention standards,1,0.760605,1417_pdf_4894_p0028-p0029_h5dfa4038c0d1d9b0,1417,4894,28,29,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]",data/sample_100/policies/1417__eo-securing-our-borders-6-directs-dhs-dos-and-doj-to-resume-migrant-protection-p/documents/prior-policy__4894__nan__4ba9c1d5c8.pdf,"[""4894""]","[""4894""]","[""1417_pdf_4894_p0028-p0029_h5dfa4038c0d1d9b0"", ""1417_pdf_4894_p0028-p0028_h6ae3283cff385103"", ""1417_pdf_4894_p0035-p0036_h03c5349c6618e8ab"", ""1417_pdf_4894_p0015-p0015_h1d901ce8ec23900b"", ""1417_pdf_4894_p0028-p0028_hea203333de6040d0"", ""1417_pdf_4894_p0005-p0006_ha33a664ef4aec899"", ""1417_pdf_4894_p0027-p0027_h9d16e5476f58fc7a"", ""1417_pdf_4894_p0035-p0035_hdce90fe72aa32f19"", ""1417_pdf_4894_p0027-p0028_hbc62f3e8f111a268"", ""1417_pdf_4894_p0025-p0025_hf9e38828dc9ff726"", ""1417_pdf_4894_p0026-p0027_h6eebee97883db08a"", ""1417_pdf_4894_p0015-p0015_h40dc411f2328c4be"", ""1417_pdf_4894_p0001-p0002_hcb8fb57d9625447f"", ""1417_pdf_4894_p0005-p0005_h07bbd4a658514b33""]",14,1,"§ 212.5(b)(5). 120 See, e.g., Interim Guidance for Implementation of Matter of M-S, 27 I&N Dec. 509 (A.G. 2019): Parole of Aliens Who Entered Without Inspection, Were Subject to Expedited Removal, and Were Found to Have a Credible Fear of Persecution or Torture; ICE Policy No. 11002.1, Parole of Arriving Aliens Found to Have a Credible Fear of Persecution or Torture (Dec. 8, 2009); see also Jeanty v. Bulger, 204 F. Supp. 2d 1366, 1377-78 (S.D. Fla. 2002) (referring to INS detention use policies, including parole policies, based on having to establish “priorities for the use of limited detention space”), aff’d, 321 F.3d 1336 (11th Cir. 2003). 121 Southwest Land Border Encounters, supra note 95. 122 FY 2020 Enforcement Lifecycle Report, supra, note 75. 28 duration of their proceedings; a full 42 percent (more than 415,000 individuals) were never booked into ICE detention at all.123 By interpreting Section 1225 to mandate either detention or return to Mexico, the court essentially conclu…"
ICE detention standards,2,0.744427,1985_pdf_7288_p0015-p0016_h5c57fd7efff9a80b,1985,7288,15,16,DHS Secretary ratifies interim final rule on Asylum Cooperative Agreements,,"[""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review"", ""Unspecified/Other""]","[""Unspecified/Other"", ""Asylum, Withholding and CAT"", ""Unspecified/Other""]",data/sample_100/policies/1985__homeland-security-secretary-noem-ratifies-interim-final-rule-pertaining-to-asylu/documents/subsequent-action__7288__nan__22cb73eb35.pdf,"[""7288"", ""8163"", ""7604""]","[""7288"", ""8163"", ""7604""]","[""1985_pdf_7288_p0015-p0016_h5c57fd7efff9a80b"", ""1985_pdf_7288_p0023-p0023_h8fe2d997c3c35af4"", ""1985_pdf_7288_p0036-p0037_h0c2192fa90458a96"", ""1985_pdf_7288_p0018-p0019_h00abeb5552be51c3"", ""1985_pdf_7288_p0017-p0018_h08e08848f661a77e"", ""1985_pdf_7288_p0017-p0017_h688637f04d17e87e"", ""1985_pdf_7288_p0046-p0047_hd0e9a83e7da7f55e"", ""1985_pdf_8163_p0003-p0003_hee6f4cd1c99ec0dc"", ""1985_pdf_7604_p0001-p0002_h7272e4c946010579"", ""1985_pdf_7288_p0047-p0048_h8d198d74675d6220""]",10,5,"border or who present themselves at ports of entry. CBP makes the initial determination whether an individual in expedited removal is “amenable” to removal pursuant to an ACA and, if so, refers the individual to USCIS for a “threshold screening interview.” 36. Defendant Todd Lyons is the Acting Director of ICE. He is sued in his official capacity. 37. Defendant ICE is the sub-agency of DHS that is responsible for carrying out removal orders and overseeing immigration detention. Case 1:20-cv-00116-EGS Document 157-1 Filed 09/08/25 Page 15 of 52 13 FACTS Protections for People Fleeing Persecution and Torture 38. Federal law provides three primary forms of protection for individuals fleeing persecution and torture: asylum under 8 U.S.C. § 1158; withholding of removal under 8 U.S.C. § 1231(b)(3); and protection under the Convention Against Torture (“CAT”), see 8 C.F.R. § 1208.16-18. 39. Asylum affords protection to individuals who have a “well-founded fear of persecution” on account of ra…"
ICE detention standards,3,0.737557,983_pdf_2265_p0001-p0001_h26f4310cebe825ac,983,2265,1,1,EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility,,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review""]","[""Asylum, Withholding and CAT""]",data/sample_100/policies/983__dhs-and-doj-propose-adding-public-health-grounds-to-asylum-and-withholding-of-re/documents/prior-policy__2265__8-cfr-120813__ddcec0b254.pdf,"[""2265"", ""3567"", ""3161"", ""2266"", ""2264"", ""2267""]","[""2265"", ""3567"", ""3161"", ""2266"", ""2264"", ""2267""]","[""983_pdf_2265_p0001-p0001_h26f4310cebe825ac"", ""983_pdf_3567_p0001-p0001_h477ae081621af0be"", ""983_pdf_3161_p0001-p0001_h25f507e2a70088a9"", ""983_pdf_2265_p0001-p0001_h9edea2c86b06adc7"", ""983_pdf_2266_p0001-p0001_h3aff00c561e669d2"", ""983_pdf_2264_p0001-p0001_h1c8dfae127f20691"", ""983_pdf_2267_p0001-p0001_he76197baed837a24""]",7,7,"939 Executive Office for Immigration Review, Justice § 1208.13 (1) Detailed country conditions information relevant to eligibility for asylum, withholding of removal under section 241(b)(3) of the Act, and withholding of removal under the Convention Against Torture; (2) An assessment of the accuracy of the applicant’s assertions about conditions in the applicant’s country of nationality or habitual residence and the applicant’s particular situation; (3) Information about whether persons who are similarly situated to the applicant are persecuted or tortured in the applicant’s country of nationality or habitual residence and the frequency of such persecution or torture; or (4) Such other information as it deems relevant. (c) Any comments received pursuant to paragraph (b) of this section shall be made part of the record. Unless the comments are classified under an applicable Executive Order, the applicant shall be provided an opportunity to review and respond to such comments prior to t…"
ICE detention standards,4,0.732525,1948_pdf_7041_p0001-p0002_h2ff92ecd7e463c62,1948,7041,1,2,"AG Bondi issues Matter of S-S-F-M-, restricting asylum claims based on domestic violence",,"[""Immigration and Customs Enforcement"", ""U.S. Citizenship and Immigration Services"", ""Attorney General"", ""Executive Office for Immigration Review""]","[""Asylum, Withholding and CAT"", ""Unspecified/Other""]",data/sample_100/policies/1948__ag-bondi-issues-matter-of-s-s-f-m/documents/new-policy__7041__nan__bc5bd471c5.pdf,"[""7041"", ""7053""]","[""7041"", ""7053""]","[""1948_pdf_7041_p0001-p0002_h2ff92ecd7e463c62"", ""1948_pdf_7053_p0002-p0003_hca57f679a83e79b8"", ""1948_pdf_7041_p0003-p0003_h30cba609788117bf""]",3,11,"316 (A.G. 2018) (“A-B- I”), Attorney General Sessions clarified the standards that an asylum applicant must meet to establish persecution on account of membership in a “particular social group.” Id. at 317. If the alleged persecutor is unaffiliated with the government of the applicant’s home country, Attorney General Sessions further ruled, then “the applicant must show that flight from her country is necessary because her home government is unwilling or unable to protect her.” Id. In Matter of A-B-, 28 I&N Dec. 199 (A.G. 2021) (“A-B- II”), Acting Attorney General Rosen further clarified that standard. In Matter of A-B-, 28 I&N Dec. 307 (A.G. 2021) (“A-B- III”), however, Attorney General Garland vacated both A-B- I and A-B- II in anticipation of a rulemaking directed by President Biden. See Exec. Order No. 14010, § 4(c)(ii), 86 Fed. Reg. 8267, 8271 (Feb. 2, 2021). Attorney General Garland instructed “immigration judges and the Board [to] follow pre-A-B-I precedent” until the completio…"
ICE detention standards,5,0.731865,1997_ttl_h409cb890c98bed02,1997,,,,US citizen seek millions in damages after violent ICE arrests (RFC),,"[""Immigration and Customs Enforcement"", ""Unspecified/Other""]","[""Unspecified/Other""]",,[],"[""1997""]","[""1997_sum_haeda0c0d3cfe05b7"", ""1997_ttl_h409cb890c98bed02""]",2,12,"Several U.S. citizens are suing ICE and DHS for millions in damages, alleging they were violently arrested, unlawfully detained, and subjected to assault, battery, false imprisonment, and emotional distress despite being American citizens. The lawsuits includes cases such as a man arrested twice while at work and others caught in raids where ICE agents allegedly used excessive force."
asylum cooperative agreements interim final rule,1,0.896517,1985_ttl_h3ae929a269257233,1985,,,,DHS Secretary ratifies interim final rule on Asylum Cooperative Agreements,,"[""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review"", ""Unspecified/Other""]","[""Unspecified/Other"", ""Asylum, Withholding and CAT"", ""Unspecified/Other""]",,"[""7604"", ""8162"", ""7288""]","[""1985"", ""7604"", ""8162"", ""7288""]","[""1985_ttl_h3ae929a269257233"", ""1985_pdf_7604_p0001-p0001_ha736313b04233ca7"", ""1985_sum_h8ea2db1609106bec"", ""1985_pdf_8162_p0002-p0002_hf1ede5cdc15e16f2"", ""1985_pdf_7604_p0003-p0004_h9683e17e3012de80"", ""1985_pdf_7604_p0007-p0007_h8c451b451aa4be04"", ""1985_pdf_7288_p0025-p0026_h52365760dffcfc60"", ""1985_pdf_8162_p0003-p0004_h3cb3bbc83b866f69"", ""1985_pdf_8162_p0002-p0003_he62dbb263e2bf812"", ""1985_pdf_7288_p0021-p0022_h1942c1886b86e899"", ""1985_pdf_7604_p0008-p0008_h27260092585c6897"", ""1985_pdf_7288_p0045-p0046_h13ba4b65e9aa70af"", ""1985_pdf_7288_p0027-p0028_h79d64a0dd8abe4ea"", ""1985_pdf_7288_p0003-p0004_hb165816a5d8df934"", ""1985_pdf_7288_p0023-p0023_h8fe2d997c3c35af4"", ""1985_pdf_7288_p0024-p0025_h15d6d17cb375d221"", ""1985_pdf_7604_p0004-p0005_h85bf9fa180c7e3c9""]",17,1,"DHS Secretary Kristi Noem ratifies an interim final rule (IFR) titled “Implementing Bilateral and Multilateral Asylum Cooperative Agreements Under the Immigration and Nationality Act.” 84 Fed. Reg. 63,994 (Nov. 19, 2019). The IFR provides for implementation of ACAs signed between the U.S. and third countries, authorizing asylum-seekers in the U.S. to be sent to third countries to process their claims. The initial IFR was approved and issued by former Acting DHS Secretary Chad Wolf in 2019. Secretary Noem states she ratified the IFR ""[o]ut of an abundance of caution"" in response to a Government Accountability Office (GAO) Opinion and lawsuits challenging the validity of agency actions taken by improperly appointed officials. For additional information regarding the Trump 1.0 Interim Final Rule, please see this Trump 1.0 entry. Trump 2.0 [ID #1985]"
