relevance,reason,query,rank,title
2,"Discusses DOS suspension of routine visa services during COVID and coordination with DHS/DOL on visa processing.","DHS and DOS coordination policies for consular processing during COVID",5,"DOL proposes new collection form for employers seeking to employ H-2B nonimmigrant workers"
0,"H-2A wage rules are unrelated to H1B wage level rules or court vacatur.","changes to H1B wage level rule and subsequent court vacatur",1,"DOL issues interim final rule on Adverse Effect Wage Rate for H-2A agricultural laborers"
1,"Discusses public charge and adjustment rules, not H1B wage level rules specifically.","changes to H1B wage level rule and subsequent court vacatur",2,"USCIS issues final rule on public charge inadmissibility grounds"
2,"Directly references revised prevailing wage data and interim final rule implementation relevant to H1B wage rule changes.","changes to H1B wage level rule and subsequent court vacatur",3,"COVID-19: OFLC announces issuance of electronic PERM labor certifications"
0,"NTA jurisdiction and Pereira guidance are unrelated to H1B wage rules.","changes to H1B wage level rule and subsequent court vacatur",4,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling"
0,"Criminal conviction modification precedent is unrelated to H1B wage level rules.","changes to H1B wage level rule and subsequent court vacatur",5,"AG Barr issues Matter of Thomas and Thompson, ruling on the immigration effect of modified criminal convictions"
1,"Touches on judicial review and executive discretion, but not administrative closure authority specifically.","policy shifts in administrative closure authority EOIR and Attorney General decisions",1,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
3,"Directly discusses denial of administrative closure requests under Castro-Tum.","policy shifts in administrative closure authority EOIR and Attorney General decisions",2,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling"
2,"Directly addresses continuance standards and EOIR case management authority.","policy shifts in administrative closure authority EOIR and Attorney General decisions",3,"EOIR Director issues guidance to restrict continuances"
0,"OMB funding pauses are unrelated to administrative closure authority.","policy shifts in administrative closure authority EOIR and Attorney General decisions",4,"OMB temporarily pauses agency grant, loan, and financial assistance programs"
0,"Domestic violence asylum precedent is unrelated to administrative closure authority.","policy shifts in administrative closure authority EOIR and Attorney General decisions",5,"AG Bondi issues Matter of S-S-F-M-, restricting asylum claims based on domestic violence"
2,"Discusses USCIS discretion guidance in adjudications, somewhat related to deference in H1B adjudications.","USCIS deference policy to prior approvals H1B adjudications changes",1,"USCIS updates policy on applying discretion in adjudications"
1,"Touches on benefits adjudications and vetting, but not prior approval deference policy.","USCIS deference policy to prior approvals H1B adjudications changes",2,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,"Credible fear interview timing changes are unrelated to H1B adjudication deference.","USCIS deference policy to prior approvals H1B adjudications changes",3,"Asylum seekers given less time to prepare for credible fear interviews"
0,"Deferred action biographic form revisions are unrelated to H1B adjudication deference.","USCIS deference policy to prior approvals H1B adjudications changes",4,"USCIS proposes changes to Form G-325A, Biographic Information (for Deferred Action)"
1,"Public charge policy affects adjustment adjudications generally, not H1B deference specifically.","USCIS deference policy to prior approvals H1B adjudications changes",5,"USCIS issues final rule on public charge inadmissibility grounds"
0,"PRWORA benefits interpretations are unrelated to SIJS eligibility requirements.","evolution of SIJS eligibility interpretations and state court dependency requirements",1,"HHS issues notice excluding undocumented immigrants from additional federal benefits"
0,"Employment verification litigation is unrelated to SIJS dependency findings.","evolution of SIJS eligibility interpretations and state court dependency requirements",2,"DOJ sues Illinois over ""Right to Privacy in the Workplace Act"" amendments"
1,"Discusses agency adjudicatory discretion broadly, but not SIJS specifically.","evolution of SIJS eligibility interpretations and state court dependency requirements",3,"AG Barr issues Matter of Thomas and Thompson, ruling on the immigration effect of modified criminal convictions"
1,"USCIS discretion standards may indirectly affect SIJS adjudications, but not dependency interpretations.","evolution of SIJS eligibility interpretations and state court dependency requirements",4,"USCIS updates policy on applying discretion in adjudications"
0,"Parole termination and expedited removal interpretations are unrelated to SIJS.","evolution of SIJS eligibility interpretations and state court dependency requirements",5,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
1,"Adjustment eligibility guidance may indirectly involve employment authorization.","policy changes governing employment authorization for pending adjustment applicants",1,"EOIR issues guidance on adjustment of status eligibility for certain Liberians under the NDAA"
3,"Directly discusses discretionary employment authorization under 8 CFR 274a.12(c) and Form I-765.","policy changes governing employment authorization for pending adjustment applicants",2,"USCIS updates policy on applying discretion in adjudications"
2,"References adjustment applicants with temporary employment authorization categories.","policy changes governing employment authorization for pending adjustment applicants",3,"HUD orders immediate citizenship-verification for tenants in HUD-funded housing"
1,"Touches on adjustment adjudications and discretionary benefits, but not employment authorization policy specifically.","policy changes governing employment authorization for pending adjustment applicants",4,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
1,"Public charge rules affect adjustment applicants generally, not employment authorization specifically.","policy changes governing employment authorization for pending adjustment applicants",5,"USCIS issues final rule on public charge inadmissibility grounds"
2,"Discusses CBP expedited removal screening and processing guidance.","CBP expedited inspection and secondary inspection policy guidance updates",1,"DHS Secretary ratifies interim final rule on Asylum Cooperative Agreements"
3,"Directly discusses CBP operational guidance for MPP and border inspection procedures.","CBP expedited inspection and secondary inspection policy guidance updates",2,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
3,"Directly discusses secondary inspection and expedited removal by CBP.","CBP expedited inspection and secondary inspection policy guidance updates",3,"DHS deports DACA recipient returning with advance parole"
0,"ORR medical and custody policies are unrelated to CBP inspection guidance.","CBP expedited inspection and secondary inspection policy guidance updates",4,"ORR requires Director-level authorization of custodial releases of certain unaccompanied children"
1,"General USCIS discretion guidance only tangentially relates to inspections.","CBP expedited inspection and secondary inspection policy guidance updates",5,"USCIS updates policy on applying discretion in adjudications"
0,"PRWORA federal funding interpretations are unrelated to cancellation hardship standards.","changes to cancellation of removal hardship standard interpretations",1,"HHS issues notice excluding undocumented immigrants from additional federal benefits"
2,"Directly references cancellation of removal eligibility and stop-time rule issues.","changes to cancellation of removal hardship standard interpretations",2,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling"
1,"Asylum cooperative agreements concern withholding/CAT standards, not cancellation hardship.","changes to cancellation of removal hardship standard interpretations",3,"DHS Secretary ratifies interim final rule on Asylum Cooperative Agreements"
2,"Discusses continuances for cancellation cases subject to statutory caps.","changes to cancellation of removal hardship standard interpretations",4,"EOIR Director issues guidance to restrict continuances"
1,"Discusses burden of proof in cancellation contexts, but not hardship standards directly.","changes to cancellation of removal hardship standard interpretations",5,"AG Barr issues Matter of Thomas and Thompson, ruling on the immigration effect of modified criminal convictions"
3,"Directly rescinds EOIR continuance-related memoranda and asylum processing guidance.","USCIS and EOIR policy conflicts regarding continuances and case management",1,"EOIR Director issues guidance to restrict continuances"
2,"Discusses updated NTA filing and scheduling standards between DHS and EOIR.","USCIS and EOIR policy conflicts regarding continuances and case management",2,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling"
0,"EOIR appearance form revisions are unrelated to continuances or case management conflicts.","USCIS and EOIR policy conflicts regarding continuances and case management",3,"DOJ requests comments on Form EOIR-27, Notice of Entry of Appearance before BIA"
1,Asylum interview preparation timing relates to USCIS case management broadly but not EOIR continuance conflicts specifically,USCIS and EOIR policy conflicts regarding continuances and case management,4,"Asylum seekers given less time to prepare for credible fear interviews"
1,Discusses USCIS discretionary adjudications broadly but not continuances or EOIR case management conflicts,USCIS and EOIR policy conflicts regarding continuances and case management,5,"USCIS updates policy on applying discretion in adjudications"
0,HHS benefit eligibility litigation is unrelated to premium processing scope or statutory authority,regulatory changes to premium processing scope and statutory authority expansion,1,"HHS issues notice excluding undocumented immigrants from additional federal benefits"
1,Discusses statutory parole authority and adjudication authority generally but not premium processing expansion specifically,regulatory changes to premium processing scope and statutory authority expansion,2,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,Credible fear interview directives are unrelated to premium processing authority expansion,regulatory changes to premium processing scope and statutory authority expansion,3,"Asylum seekers given less time to prepare for credible fear interviews"
2,Directly discusses USCIS statutory and discretionary adjudication authority relevant to premium processing authority questions,regulatory changes to premium processing scope and statutory authority expansion,4,"USCIS updates policy on applying discretion in adjudications"
0,TPS litigation and statutory interpretation are unrelated to premium processing expansion,regulatory changes to premium processing scope and statutory authority expansion,5,"DHS terminates Temporary Protected Status for Honduras"
1,Discusses immigrant visa fee exemptions and reconsideration procedures but not per-country limits directly,policy developments affecting immigrant visa backlogs and per country limits,1,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
1,Discusses coordination of visa implementation and enforcement but not immigrant visa backlogs or per-country caps specifically,policy developments affecting immigrant visa backlogs and per country limits,2,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban"
3,Directly discusses plans to clear immigrant visa backlogs and expedite pending visa adjudications,policy developments affecting immigrant visa backlogs and per country limits,3,"POTUS issues EO 13780, extending travel ban and instructing agencies to enhance screening of certain foreign nationals"
1,Discusses refugee admissions caps and resettlement funding rather than immigrant visa backlogs or per-country limits,policy developments affecting immigrant visa backlogs and per country limits,4,"State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S."
0,MPP litigation and hearing logistics are unrelated to immigrant visa backlogs or per-country limits,policy developments affecting immigrant visa backlogs and per country limits,5,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
0,Parole program litigation is unrelated to visa overstay tracking enforcement,DHS rulemaking and litigation regarding visa overstay tracking enforcement,1,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,Classified information handling procedures are unrelated to visa overstay tracking enforcement,DHS rulemaking and litigation regarding visa overstay tracking enforcement,2,"EOIR Acting Deputy Director issues guidance on the handling of classified information in EOIR proceedings"
1,Travel restriction enforcement relates to border entry screening broadly but not visa overstay tracking specifically,DHS rulemaking and litigation regarding visa overstay tracking enforcement,3,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
0,Asylum security bars based on communicable disease concerns are unrelated to visa overstay tracking enforcement,DHS rulemaking and litigation regarding visa overstay tracking enforcement,4,"EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility"
0,MPP litigation and non-refoulement screening procedures are unrelated to visa overstay tracking enforcement,DHS rulemaking and litigation regarding visa overstay tracking enforcement,5,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
